,skew_before
maximum_nights,260.15020963757655
minimum_maximum_nights,260.14637446119826
price,200.18471253908038
estimated_revenue_l365d,128.2128830076444
maximum_maximum_nights,91.19465665309886
maximum_nights_avg_ntm,91.18497477274136
calculated_host_listings_count_shared_rooms,31.994284785995195
minimum_minimum_nights,24.810454361012024
minimum_nights,21.79329017967063
minimum_nights_avg_ntm,20.863258262943695
host_listings_count,13.458143632702848
host_total_listings_count,12.115578709010014
maximum_minimum_nights,11.270294181817968
calculated_host_listings_count_private_rooms,8.325068287261946
number_of_reviews_l30d,7.9302376079213275
calculated_host_listings_count_entire_homes,6.769604147358622
number_of_reviews,6.545794790782958
calculated_host_listings_count,6.454849974006763
bedrooms,5.596361116157779
number_of_reviews_ly,4.664360414124601
bathrooms,4.385110121300833
number_of_reviews_ltm,4.252252916918395
reviews_per_month,3.383286278561152
beds,3.3329258725612387
estimated_occupancy_l365d,1.7644226150943905
accommodates,1.645118029766272
host_id,0.77640780105065
availability_30,0.7593340648195464
availability_60,0.4406307112141998
availability_365,0.34919564857901986
availability_90,0.28905285213856635
availability_eoy,0.26695425341992285
scrape_id,0.0
longitude,-0.024318236896303712
latitude,-0.35337528102703364
review_scores_cleanliness,-3.3902192081819185
review_scores_value,-3.460118250670916
review_scores_rating,-3.7843703174924563
review_scores_location,-4.046476048746307
review_scores_accuracy,-4.181653933976012
review_scores_checkin,-5.0121214795899105
review_scores_communication,-5.238530739109937
